Table 4.1 MPI results by rural and urban areas,,,,,,,,,,,,,,,,,,,,,,,,,
This table reports the MPI estimates for rural and urban areas. Table is sorted by country (alphabetically). Estimates can deviate from Table 1.1 due to missing values on rural or urban information. ,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Alkire, S., Kanagaratnam, U. and Suppa, N. (2018). ‘The Global Multidimensional Poverty Index (MPI): 2018 revision’, OPHI MPI Methodological Notes 46, Oxford Poverty and Human Development Initiative, University of Oxford.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"ISO
country numeric code","ISO
country code",Country,World region,MPI data source,,Area (rural/urban),MPI of the country,,Multidimensional poverty by rural or urban areas,,,,,,Total population by countryᵃ,,,,Population 2016 ,,,,"Indicators included 
in the MPI",,
566,NGA,Nigeria,Sub-Saharan Africa,MICS,2016-2017,Rural,0.294,,0.385,66.10,58.30,15.50,44.54,,"190,886","181,182","185,990",,0.66,"123,620","81,715",,10,,
586,PAK,Pakistan,South Asia,DHS,2012-2013,Urban,0.228,,0.087,19.98,43.47,8.96,6.41,,"181,713","189,381","193,203",,0.32,"62,390","12,467",,10,,
586,PAK,Pakistan,South Asia,DHS,2012-2013,Rural,0.228,,0.296,55.27,53.52,17.19,33.47,,"181,713","189,381","193,203",,0.68,"130,813","72,306",,10,,
275,PSE,"Palestine, State of",Arab States,MICS,2014,Urban,0.004,,0.004,0.93,38.11,6.08,0.09,,"4,537","4,663","4,791",,0.74,"3,568",33,,10,,
275,PSE,"Palestine, State of",Arab States,MICS,2014,Rural,0.004,,0.005,1.26,35.84,2.12,0.00,,"4,537","4,663","4,791",,0.17,795,10,,10,,
600,PRY,Paraguay,Latin America and Caribbean,MICS,2016,Urban,0.019,,0.004,1.05,37.42,3.60,0.08,,"6,725","6,639","6,725",,0.62,"4,179",44,,10,,
600,PRY,Paraguay,Latin America and Caribbean,MICS,2016,Rural,0.019,,0.044,10.35,42.72,13.38,2.56,,"6,725","6,639","6,725",,0.38,"2,546",264,,10,,
604,PER,Peru,Latin America and Caribbean,DHS,2012,Urban,0.052,,0.013,3.41,38.91,6.57,0.46,,"30,159","31,377","31,774",,0.69,"21,953",748,,10,,
604,PER,Peru,Latin America and Caribbean,DHS,2012,Rural,0.052,,0.137,32.65,42.05,25.62,7.77,,"30,159","31,377","31,774",,0.31,"9,821","3,207",,10,,
608,PHL,Philippines,East Asia and the Pacific,DHS,2013,Urban,0.038,,0.020,4.08,47.99,4.64,1.89,,"98,481","101,716","103,320",,0.48,"49,541","2,019",,8,Nutrition School attendance,
608,PHL,Philippines,East Asia and the Pacific,DHS,2013,Rural,0.038,,0.056,10.48,53.13,13.65,7.37,,"98,481","101,716","103,320",,0.52,"53,779","5,634",,8,Nutrition School attendance,
646,RWA,Rwanda,Sub-Saharan Africa,DHS,2014-2015,Urban,0.266,,0.110,24.65,44.68,24.22,7.59,,"11,630","11,630","11,918",,0.17,"1,989",490,,10,,
646,RWA,Rwanda,Sub-Saharan Africa,DHS,2014-2015,Rural,0.266,,0.297,62.09,47.89,25.07,26.03,,"11,630","11,630","11,918",,0.83,"9,928","6,165",,10,,
662,LCA,Saint Lucia,Latin America and Caribbean,MICS,2012,Urban,0.007,,0.006,1.69,36.57,2.13,0.00,,175,177,178,,0.19,33,1,,9,Child mortality,
662,LCA,Saint Lucia,Latin America and Caribbean,MICS,2012,Rural,0.007,,0.007,1.97,37.67,1.53,0.00,,175,177,178,,0.81,145,3,,9,Child mortality,
678,STP,Sao Tome and Principe,Sub-Saharan Africa,MICS,2014,Urban,0.092,,0.075,18.13,41.42,17.05,3.20,,191,196,200,,0.67,133,24,,10,,
678,STP,Sao Tome and Principe,Sub-Saharan Africa,MICS,2014,Rural,0.092,,0.127,30.11,42.04,23.96,6.80,,191,196,200,,0.33,67,20,,10,,
686,SEN,Senegal,Sub-Saharan Africa,DHS,2016,Urban,0.293,,0.119,26.97,44.24,20.97,8.49,,"15,412","14,977","15,412",,0.45,"6,888","1,858",,10,,
686,SEN,Senegal,Sub-Saharan Africa,DHS,2016,Rural,0.293,,0.434,76.62,56.67,14.18,51.09,,"15,412","14,977","15,412",,0.55,"8,524","6,531",,10,,
688,SRB,Serbia,Europe and Central Asia,MICS,2014,Urban,0.001,,0.001,0.12,41.42,1.48,0.02,,"8,885","8,851","8,820",,0.59,"5,212",6,,10,,
688,SRB,Serbia,Europe and Central Asia,MICS,2014,Rural,0.001,,0.003,0.65,42.76,6.17,0.23,,"8,885","8,851","8,820",,0.41,"3,608",23,,10,,
694,SLE,Sierra Leone,Sub-Saharan Africa,DHS,2013,Urban,0.422,,0.225,48.18,46.74,25.99,18.97,,"6,922","7,237","7,396",,0.31,"2,267","1,092",,10,,
694,SLE,Sierra Leone,Sub-Saharan Africa,DHS,2013,Rural,0.422,,0.509,89.00,57.17,9.23,61.42,,"6,922","7,237","7,396",,0.69,"5,129","4,565",,10,,
706,SOM,Somalia,Arab States,MICS,2006,Urban,0.518,,0.305,58.38,52.22,19.16,32.59,,"10,718","13,908","14,318",,0.38,"5,478","3,198",,10,,
706,SOM,Somalia,Arab States,MICS,2006,Rural,0.518,,0.649,97.00,66.94,2.26,89.09,,"10,718","13,908","14,318",,0.62,"8,840","8,574",,10,,
710,ZAF,South Africa,Sub-Saharan Africa,NIDS,2014-2015,Urban,0.023,,0.009,2.26,38.67,8.46,0.25,,"54,540","55,291","56,015",,0.63,"35,199",796,,10,,
710,ZAF,South Africa,Sub-Saharan Africa,NIDS,2014-2015,Rural,0.023,,0.047,12.02,39.32,22.65,1.63,,"54,540","55,291","56,015",,0.37,"20,816","2,501",,10,,
728,SSD,South Sudan,Sub-Saharan Africa,MICS,2010,Urban,0.581,,0.477,83.63,57.00,10.46,55.85,,"10,067","11,882","12,231",,0.25,"3,043","2,545",,10,,
728,SSD,South Sudan,Sub-Saharan Africa,MICS,2010,Rural,0.581,,0.615,94.66,65.02,4.92,80.64,,"10,067","11,882","12,231",,0.75,"9,188","8,697",,10,,
729,SDN,Sudan,Arab States,MICS,2014,Urban,0.280,,0.122,26.53,46.09,20.24,10.00,,"37,738","38,648","39,579",,0.31,"12,286","3,259",,10,,
729,SDN,Sudan,Arab States,MICS,2014,Rural,0.280,,0.351,64.04,54.77,16.48,40.30,,"37,738","38,648","39,579",,0.69,"27,293","17,479",,10,,
740,SUR,Suriname,Latin America and Caribbean,MICS,2010,Urban,0.041,,0.017,4.48,38.54,2.04,0.67,,526,553,558,,0.71,399,18,,9,Child mortality,
740,SUR,Suriname,Latin America and Caribbean,MICS,2010,Rural,0.041,,0.099,21.64,45.91,10.55,7.13,,526,553,558,,0.29,159,35,,9,Child mortality,
760,SYR,Syria,Arab States,PAPFAM,2009,Urban,0.029,,0.021,5.60,36.80,5.18,0.69,,"20,825","18,735","18,430",,0.55,"10,053",563,,10,,
760,SYR,Syria,Arab States,PAPFAM,2009,Rural,0.029,,0.039,9.55,40.43,10.83,1.88,,"20,825","18,735","18,430",,0.45,"8,378",800,,10,,
762,TJK,Tajikistan,Europe and Central Asia,DHS,2012,Urban,0.049,,0.014,3.87,36.98,11.38,0.12,,"7,995","8,549","8,735",,0.24,"2,093",81,,10,,
762,TJK,Tajikistan,Europe and Central Asia,DHS,2012,Rural,0.049,,0.060,14.71,40.64,29.86,3.01,,"7,995","8,549","8,735",,0.76,"6,642",977,,10,,
834,TZA,Tanzania,Sub-Saharan Africa,DHS,2015-2016,Urban,0.275,,0.113,26.27,43.19,24.70,6.57,,"55,572","53,880","55,572",,0.29,"16,214","4,259",,10,,
834,TZA,Tanzania,Sub-Saharan Africa,DHS,2015-2016,Rural,0.275,,0.341,67.73,50.35,23.86,34.19,,"55,572","53,880","55,572",,0.71,"39,358","26,656",,10,,
807,MKD,TFYR of Macedonia,Europe and Central Asia,MICS,2011,Urban,0.010,,0.005,1.51,36.17,1.34,0.07,,"2,072","2,079","2,081",,0.56,"1,159",18,,9,Child mortality,
807,MKD,TFYR of Macedonia,Europe and Central Asia,MICS,2011,Rural,0.010,,0.015,3.81,38.52,4.77,0.46,,"2,072","2,079","2,081",,0.44,922,35,,9,Child mortality,
764,THA,Thailand,East Asia and the Pacific,MICS,2015-2016,Urban,0.003,,0.002,0.52,39.45,4.35,0.14,,"68,864","68,658","68,864",,0.46,"31,689",164,,10,,
764,THA,Thailand,East Asia and the Pacific,MICS,2015-2016,Rural,0.003,,0.004,1.02,38.93,9.68,0.13,,"68,864","68,658","68,864",,0.54,"37,175",379,,10,,
626,TLS,Timor-Leste,East Asia and the Pacific,DHS,2016,Urban,0.211,,0.078,18.83,41.20,30.99,3.99,,"1,269","1,241","1,269",,0.27,342,64,,10,,
626,TLS,Timor-Leste,East Asia and the Pacific,DHS,2016,Rural,0.211,,0.260,56.11,46.36,24.09,21.12,,"1,269","1,241","1,269",,0.73,926,520,,10,,
768,TGO,Togo,Sub-Saharan Africa,DHS,2013-2014,Urban,0.250,,0.071,17.04,41.60,20.01,3.53,,"7,229","7,417","7,606",,0.38,"2,854",486,,10,,
768,TGO,Togo,Sub-Saharan Africa,DHS,2013-2014,Rural,0.250,,0.357,67.18,53.18,22.89,36.96,,"7,229","7,417","7,606",,0.62,"4,752","3,193",,10,,
780,TTO,Trinidad and Tobago,Latin America and Caribbean,MICS,2011,Urban,0.002,,0.001,0.25,35.71,2.95,0.00,,"1,335","1,360","1,365",,0.57,776,2,,10,,
780,TTO,Trinidad and Tobago,Latin America and Caribbean,MICS,2011,Rural,0.002,,0.004,1.15,38.62,4.65,0.23,,"1,335","1,360","1,365",,0.43,589,7,,10,,
788,TUN,Tunisia,Arab States,MICS,2011-2012,Urban,0.005,,0.001,0.20,35.11,0.78,0.01,,"10,887","11,274","11,403",,0.66,"7,495",15,,10,,
788,TUN,Tunisia,Arab States,MICS,2011-2012,Rural,0.005,,0.014,3.47,40.20,9.44,0.51,,"10,887","11,274","11,403",,0.34,"3,908",136,,10,,
795,TKM,Turkmenistan,Europe and Central Asia,MICS,2015-2016,Urban,0.001,,0.001,0.34,36.96,0.80,0.00,,"5,663","5,565","5,663",,0.39,"2,186",7,,10,,
795,TKM,Turkmenistan,Europe and Central Asia,MICS,2015-2016,Rural,0.001,,0.002,0.44,35.65,3.55,0.00,,"5,663","5,565","5,663",,0.61,"3,477",15,,10,,
800,UGA,Uganda,Sub-Saharan Africa,DHS,2016,Urban,0.279,,0.125,27.06,46.19,24.18,8.68,,"41,488","40,145","41,488",,0.21,"8,749","2,367",,10,,
800,UGA,Uganda,Sub-Saharan Africa,DHS,2016,Rural,0.279,,0.320,64.70,49.47,23.86,29.90,,"41,488","40,145","41,488",,0.79,"32,739","21,182",,10,,
804,UKR,Ukraine,Europe and Central Asia,MICS,2012,Urban,0.001,,0.001,0.15,33.56,0.12,0.00,,"45,349","44,658","44,439",,0.72,"32,064",49,,9,Nutrition,
804,UKR,Ukraine,Europe and Central Asia,MICS,2012,Rural,0.001,,0.002,0.47,35.25,1.19,0.00,,"45,349","44,658","44,439",,0.28,"12,374",58,,9,Nutrition,
860,UZB,Uzbekistan,Europe and Central Asia,MICS,2006,Urban,0.016,,0.007,2.11,33.93,3.23,0.00,,"26,890","30,976","31,447",,0.31,"9,807",207,,10,,
860,UZB,Uzbekistan,Europe and Central Asia,MICS,2006,Rural,0.016,,0.020,5.41,37.84,13.27,0.47,,"26,890","30,976","31,447",,0.69,"21,640","1,170",,10,,
548,VUT,Vanuatu,East Asia and the Pacific,MICS,2007,Urban,0.174,,0.049,11.90,41.56,16.71,2.53,,220,265,270,,0.23,62,7,,10,,
548,VUT,Vanuatu,East Asia and the Pacific,MICS,2007,Rural,0.174,,0.211,46.70,45.11,36.90,12.41,,220,265,270,,0.77,209,97,,10,,
704,VNM,Viet Nam,East Asia and the Pacific,MICS,2014,Urban,0.020,,0.008,2.11,37.14,2.42,0.22,,"92,545","93,572","94,569",,0.32,"30,193",636,,9,Nutrition,
704,VNM,Viet Nam,East Asia and the Pacific,MICS,2014,Rural,0.020,,0.025,6.35,39.86,7.12,0.98,,"92,545","93,572","94,569",,0.68,"64,376","4,088",,9,Nutrition,
887,YEM,Yemen,Arab States,DHS,2013,Urban,0.241,,0.075,17.09,43.61,27.04,3.98,,"25,576","26,916","27,584",,0.31,"8,436","1,442",,10,,
887,YEM,Yemen,Arab States,DHS,2013,Rural,0.241,,0.315,61.30,51.33,19.87,32.68,,"25,576","26,916","27,584",,0.69,"19,148","11,737",,10,,
894,ZMB,Zambia,Sub-Saharan Africa,DHS,2013-2014,Urban,0.262,,0.114,25.95,43.88,23.03,7.46,,"15,621","16,101","16,591",,0.39,"6,550","1,700",,10,,
894,ZMB,Zambia,Sub-Saharan Africa,DHS,2013-2014,Rural,0.262,,0.359,71.27,50.38,21.99,35.36,,"15,621","16,101","16,591",,0.61,"10,042","7,157",,10,,
716,ZWE,Zimbabwe,Sub-Saharan Africa,DHS,2015,Urban,0.149,,0.030,7.72,39.20,14.59,0.96,,"15,777","15,777","16,150",,0.30,"4,836",373,,10,,
716,ZWE,Zimbabwe,Sub-Saharan Africa,DHS,2015,Rural,0.149,,0.200,46.22,43.18,31.26,12.09,,"15,777","15,777","16,150",,0.70,"11,314","5,229",,10,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,
"ᵃUnited Nations, Department of Economics and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition [Accessed on 28 July 2018].",,,,,,,,,,,,,,,,,,,,,,,,,
"ᵇOwn calculations. This was computed by multiplying the headcount (column K) by population of urban or rural for 2016 (column U), and rounding to the nearest thousand. ",,,,,,,,,,,,,,,,,,,,,,,,,
"Some 10% of the population sampled for the State of Palestine MICS 2014 survey were located in refugee camps, classified as neither rural nor urban areas. We do not present the figures for camps in this table since figures presented in this table are limited to the dichotomous rural-urban indicator.",,,,,,,,,,,,,,,,,,,,,,,,,
Tables 4.1 - 4.6 last updated: 09 October 2018,,,,,,,,,,,,,,,,,,,,,,,,,
